,CODE
639,600361
640,600362
641,600363
642,600365
643,600366
644,600367
645,600368
646,600369
647,600370
648,600371
649,600372
650,600373
651,600375
652,600376
653,600377
654,600378
655,600379
656,600380
657,600381
658,600382
659,600383
660,600385
661,600386
662,600387
663,600388
664,600389
665,600390
666,600391
667,600392
668,600393
669,600395
670,600396
671,600397
672,600398
673,600399
674,600400
675,600401
676,600403
677,600405
678,600406
679,600408
680,600409
681,600410
682,600415
683,600416
684,600418
685,600419
686,600420
687,600421
688,600422
689,600423
690,600425
691,600426
692,600428
693,600429
694,600432
695,600433
696,600435
697,600436
698,600438
699,600439
700,600444
701,600446
702,600448
703,600449
704,600452
705,600455
706,600456
707,600458
708,600459
709,600460
710,600461
711,600462
712,600463
713,600466
714,600467
715,600468
716,600469
717,600470
718,600472
719,600475
720,600476
721,600477
722,600478
723,600479
724,600480
725,600481
726,600482
727,600483
728,600485
729,600486
730,600487
731,600488
732,600489
733,600490
734,600491
735,600493
736,600495
737,600496
738,600497
739,600498
740,600499
741,600500
742,600501
743,600502
744,600503
745,600505
746,600506
747,600507
748,600508
749,600509
750,600510
751,600511
752,600512
753,600513
754,600515
755,600516
756,600517
757,600518
758,600519
759,600520
760,600521
761,600522
762,600523
763,600525
764,600526
765,600527
766,600528
767,600529
768,600530
769,600531
770,600532
771,600533
772,600535
773,600536
774,600537
775,600538
776,600539
777,600540
778,600543
779,600545
780,600546
781,600547
782,600548
783,600549
784,600550
785,600551
786,600552
787,600553
788,600555
789,600556
790,600557
791,600558
792,600559
793,600560
794,600561
795,600562
796,600563
797,600565
798,600566
799,600567
800,600568
801,600569
802,600570
803,600571
804,600572
805,600573
806,600575
807,600576
808,600577
809,600578
810,600579
811,600580
812,600581
813,600582
814,600583
815,600584
816,600585
817,600586
818,600587
819,600588
820,600589
821,600590
822,600591
823,600592
824,600593
825,600594
826,600595
827,600596
828,600597
829,600598
830,600599
831,600600
832,600601
833,600602
834,600603
835,600604
836,600605
837,600606
838,600607
839,600608
840,600609
841,600610
842,600611
843,600612
844,600613
845,600614
846,600615
847,600616
848,600617
849,600618
850,600619
851,600620
852,600621
853,600622
854,600623
855,600624
856,600625
857,600626
858,600627
859,600628
860,600629
861,600630
862,600631
863,600632
864,600633
865,600634
866,600635
867,600636
868,600637
869,600638
870,600639
871,600640
872,600641
873,600642
874,600643
875,600644
876,600645
877,600646
878,600647
879,600648
880,600649
881,600650
882,600651
883,600652
884,600653
885,600654
886,600655
887,600656
888,600657
889,600658
890,600659
891,600660
892,600661
893,600662
894,600663
895,600664
896,600665
897,600666
898,600667
899,600668
900,600669
901,600670
902,600671
903,600672
904,600673
905,600674
906,600675
907,600676
908,600677
909,600678
910,600679
911,600680
912,600681
913,600682
914,600683
915,600684
916,600685
917,600686
918,600687
919,600688
920,600689
921,600690
922,600691
923,600692
924,600693
925,600694
926,600695
927,600696
928,600697
929,600698
930,600699
931,600700
932,600701
933,600702
934,600703
935,600704
936,600705
937,600706
938,600707
939,600708
940,600709
941,600710
942,600711
943,600712
944,600713
945,600714
946,600715
947,600716
948,600717
949,600718
950,600719
951,600720
952,600721
953,600722
954,600723
955,600724
956,600725
957,600726
958,600727
959,600728
960,600729
961,600730
962,600731
963,600732
964,600733
965,600734
966,600735
967,600736
968,600737
969,600738
970,600739
971,600740
972,600741
973,600742
974,600743
975,600744
976,600745
977,600746
978,600747
979,600748
980,600749
981,600750
982,600751
983,600752
984,600753
985,600754
986,600755
987,600756
988,600757
989,600758
990,600759
991,600760
992,600761
993,600762
994,600763
995,600764
996,600765
997,600766
998,600767
999,600768
1000,600769
1001,600770
1002,600771
1003,600772
1004,600773
1005,600774
1006,600775
1007,600776
1008,600777
1009,600778
1010,600779
1011,600780
1012,600781
1013,600782
1014,600783
1015,600784
1016,600785
1017,600786
1018,600787
1019,600788
1020,600789
1021,600790
1022,600791
1023,600792
1024,600793
1025,600794
1026,600795
1027,600796
1028,600797
1029,600798
1030,600799
1031,600800
1032,600801
1033,600802
1034,600803
1035,600804
1036,600805
1037,600806
1038,600807
1039,600808
1040,600809
1041,600810
1042,600811
1043,600812
1044,600813
1045,600814
1046,600815
1047,600816
1048,600817
1049,600818
1050,600819
1051,600820
1052,600821
1053,600822
1054,600823
1055,600824
1056,600825
1057,600826
1058,600827
1059,600828
1060,600829
1061,600830
1062,600831
1063,600832
1064,600833
1065,600834
1066,600835
1067,600836
1068,600837
1069,600838
1070,600839
1071,600840
1072,600841
1073,600842
1074,600843
1075,600844
1076,600845
1077,600846
1078,600847
1079,600848
1080,600849
1081,600850
1082,600851
1083,600852
1084,600853
1085,600854
1086,600855
1087,600856
1088,600857
1089,600858
1090,600859
1091,600860
1092,600861
1093,600862
1094,600863
1095,600864
1096,600865
1097,600866
1098,600867
1099,600868
1100,600869
1101,600870
1102,600871
1103,600872
1104,600873
1105,600874
1106,600875
1107,600876
1108,600877
1109,600878
1110,600879
1111,600880
1112,600881
1113,600882
1114,600883
1115,600884
1116,600885
1117,600886
1118,600887
1119,600888
1120,600889
1121,600890
1122,600891
1123,600892
1124,600893
1125,600894
1126,600895
1127,600896
1128,600897
1129,600898
1130,600899
1131,600900
1132,600901
1133,600903
1134,600908
1135,600909
1136,600917
1137,600919
1138,600926
1139,600929
1140,600933
1141,600936
1142,600939
1143,600958
1144,600959
1145,600960
1146,600961
1147,600962
1148,600963
1149,600965
1150,600966
1151,600967
1152,600969
1153,600970
1154,600971
1155,600973
1156,600975
1157,600976
1158,600977
1159,600978
1160,600979
1161,600980
1162,600981
1163,600982
1164,600983
1165,600984
1166,600985
1167,600986
1168,600987
1169,600988
1170,600990
1171,600991
1172,600992
1173,600993
1174,600995
1175,600996
1176,600997
1177,600998
1178,600999
1179,601000
1180,601001
1181,601002
1182,601003
1183,601005
1184,601006
1185,601007
1186,601008
1187,601009
1188,601010
1189,601011
1190,601012
1191,601015
1192,601016
1193,601018
1194,601019
1195,601020
1196,601021
1197,601028
1198,601038
1199,601058
1200,601066
1201,601068
1202,601069
1203,601086
1204,601088
1205,601098
1206,601099
1207,601100
1208,601101
1209,601106
1210,601107
1211,601108
1212,601111
1213,601113
1214,601116
1215,601117
1216,601118
1217,601126
1218,601127
1219,601128
1220,601137
1221,601138
1222,601139
1223,601155
1224,601158
1225,601163
1226,601166
1227,601168
1228,601169
1229,601177
1230,601179
1231,601186
1232,601188
1233,601198
1234,601199
1235,601200
1236,601206
1237,601208
1238,601211
1239,601212
1240,601216
1241,601218
1242,601222
1243,601225
1244,601226
1245,601228
1246,601229
1247,601231
1248,601233
1249,601238
1250,601258
1251,601268
1252,601288
1253,601299
1254,601311
1255,601313
1256,601318
1257,601326
1258,601328
1259,601330
1260,601333
1261,601336
1262,601339
1263,601360
1264,601366
1265,601368
1266,601369
1267,601375
1268,601377
1269,601388
1270,601390
1271,601398
1272,601500
1273,601515
1274,601518
1275,601519
1276,601555
1277,601558
1278,601566
1279,601567
1280,601577
1281,601579
1282,601588
1283,601595
1284,601599
1285,601600
1286,601601
1287,601606
1288,601607
1289,601608
1290,601611
1291,601616
1292,601618
1293,601619
1294,601628
1295,601633
1296,601636
1297,601666
1298,601668
1299,601669
1300,601677
1301,601678
1302,601688
1303,601689
1304,601699
1305,601700
1306,601717
1307,601718
1308,601727
1309,601766
1310,601777
1311,601788
1312,601789
1313,601798
1314,601799
1315,601800
1316,601801
1317,601808
1318,601811
1319,601818
1320,601828
1321,601838
1322,601857
1323,601858
1324,601866
1325,601869
1326,601872
1327,601877
1328,601878
1329,601880
1330,601881
1331,601882
1332,601886
1333,601888
1334,601890
1335,601898
1336,601899
1337,601900
1338,601901
1339,601908
1340,601918
1341,601919
1342,601928
1343,601929
1344,601933
1345,601939
1346,601949
1347,601952
1348,601958
1349,601965
1350,601966
1351,601968
1352,601969
1353,601985
1354,601988
1355,601989
1356,601990
1357,601991
1358,601992
1359,601996
1360,601997
1361,601998
1362,601999
1363,603000
1364,603001
1365,603002
1366,603003
1367,603005
1368,603006
1369,603007
1370,603008
1371,603009
1372,603010
1373,603011
1374,603012
1375,603013
1376,603015
1377,603016
1378,603017
1379,603018
1380,603019
1381,603020
1382,603021
1383,603022
1384,603023
1385,603025
1386,603026
1387,603027
1388,603028
1389,603029
1390,603030
1391,603031
1392,603032
1393,603033
1394,603035
1395,603036
1396,603037
1397,603038
1398,603039
1399,603040
1400,603041
1401,603042
1402,603043
1403,603045
1404,603050
1405,603055
1406,603056
1407,603058
1408,603059
1409,603060
1410,603063
1411,603066
1412,603067
1413,603069
1414,603076
1415,603077
1416,603078
1417,603079
1418,603080
1419,603081
1420,603083
1421,603085
1422,603086
1423,603088
1424,603089
1425,603090
1426,603096
1427,603098
1428,603099
1429,603100
1430,603101
1431,603103
1432,603105
1433,603106
1434,603108
1435,603110
1436,603111
1437,603113
1438,603116
1439,603117
1440,603118
1441,603123
1442,603126
1443,603127
1444,603128
1445,603129
1446,603131
1447,603133
1448,603136
1449,603138
1450,603139
